leto,zmagovalec tdf,zmagovalec tdf drzava,zmagovalec tdf starost,zmagovalec specialty
1903,Maurice Garin,FR,32,Classic
1904,Maurice Garin,FR,33,Classic
1905,Louis Trousselier,FR,24,Classic
1906,René Pottier,FR,27,Climber
1907,Lucien Petit-Breton,FR,24,Climber
1908,Lucien Petit-Breton,FR,25,Climber
1909,François Faber,LU,22,Climber
1910,Octave Lapize,FR,22,Classic
1911,Gustave Garrigou,FR,26,Climber
1912,Odiel Defraeye,BE,23,GC
1913,Philippe Thys,BE,23,GC
1914,Philippe Thys,BE,24,GC
1915,ni podatka,ni podatka,ni podatka,ni podatka
1916,ni podatka,ni podatka,ni podatka,ni podatka
1917,ni podatka,ni podatka,ni podatka,ni podatka
1918,ni podatka,ni podatka,ni podatka,ni podatka
1919,Firmin Lambot,BE,33,GC
1920,Philippe Thys,BE,30,GC
1921,Léon Scieur,BE,33,GC
1922,Firmin Lambot,BE,36,GC
1923,Henri Pélissier,FR,34,Classic
1924,Ottavio Bottecchia,IT,29,GC
1925,Ottavio Bottecchia,IT,30,GC
1926,Lucien Buysse,BE,33,GC
1927,Nicolas Frantz,LU,27,GC
1928,Nicolas Frantz,LU,28,GC
1929,Maurice Dewaele,BE,32,GC
1930,André Leducq,FR,26,GC
1931,Antonin Magne,FR,27,GC
1932,André Leducq,FR,28,GC
1933,Georges Speicher,FR,26,GC
1934,Antonin Magne,FR,30,GC
1935,Romain Maes,BE,22,Classic
1936,Sylvère Maes,BE,26,Sprint
1937,Roger Lapébie,FR,26,GC
1938,Gino Bartali,IT,23,Sprint
1939,Sylvère Maes,BE,29,Sprint
1940,ni podatka,ni podatka,ni podatka,ni podatka
1941,ni podatka,ni podatka,ni podatka,ni podatka
1942,ni podatka,ni podatka,ni podatka,ni podatka
1943,ni podatka,ni podatka,ni podatka,ni podatka
1944,ni podatka,ni podatka,ni podatka,ni podatka
1945,ni podatka,ni podatka,ni podatka,ni podatka
1946,ni podatka,ni podatka,ni podatka,ni podatka
1947,Jean Robic,FR,26,GC
1948,Gino Bartali,IT,33,Sprint
1949,Fausto Coppi,IT,29,Classic
1950,Ferdinand Kübler,CH,30,Sprint
1951,Hugo Koblet,CH,26,Sprint
1952,Fausto Coppi,IT,32,Classic
1953,Louison Bobet,FR,28,Classic
1954,Louison Bobet,FR,29,Classic
1955,Louison Bobet,FR,30,Classic
1956,Roger Walkowiak,FR,29,GC
1957,Jacques Anquetil,FR,23,GC
1958,Charly Gaul,LU,25,GC
1959,Federico Bahamontes,ES,30,Sprint
1960,Gastone Nencini,IT,30,Sprint
1961,Jacques Anquetil,FR,27,GC
1962,Jacques Anquetil,FR,28,GC
1963,Jacques Anquetil,FR,29,GC
1964,Jacques Anquetil,FR,30,GC
1965,Felice Gimondi,IT,22,Classic
1966,Lucien Aimar,FR,25,GC
1967,Roger Pingeon,FR,26,GC
1968,Jan Janssen,NL,28,Sprint
1969,Eddy Merckx,BE,24,Classic
1970,Eddy Merckx,BE,25,Classic
1971,Eddy Merckx,BE,26,Classic
1972,Eddy Merckx,BE,27,Classic
1973,Luis Ocaña,ES,28,GC
1974,Eddy Merckx,BE,29,Classic
1975,Bernard Thévenet,FR,27,GC
1976,Lucien Van Impe,BE,29,GC
1977,Bernard Thévenet,FR,29,GC
1978,Bernard Hinault,FR,23,TT
1979,Bernard Hinault,FR,24,TT
1980,Joop Zoetemelk,NL,33,GC
1981,Bernard Hinault,FR,26,TT
1982,Bernard Hinault,FR,27,TT
1983,Laurent Fignon,FR,22,GC
1984,Laurent Fignon,FR,23,GC
1985,Bernard Hinault,FR,30,TT
1986,Greg LeMond,US,25,GC
1987,Stephen Roche,IE,27,GC
1988,Pedro Delgado,ES,28,GC
1989,Greg LeMond,US,28,GC
1990,Greg LeMond,US,29,GC
1991,Miguel Induráin,ES,26,TT
1992,Miguel Induráin,ES,27,TT
1993,Miguel Induráin,ES,28,TT
1994,Miguel Induráin,ES,29,TT
1995,Miguel Induráin,ES,30,TT
1996,Bjarne Riis,DK,32,GC
1997,Jan Ullrich,DE,23,TT
1998,Marco Pantani,IT,28,GC
1999,Lance Armstrong,US,27,TT
2000,Lance Armstrong,US,28,TT
2001,Lance Armstrong,US,29,TT
2002,Lance Armstrong,US,30,TT
2003,Lance Armstrong,US,31,TT
2004,Lance Armstrong,US,32,TT
2005,Lance Armstrong,US,33,TT
2006,Floyd Landis,US,30,TT
2007,Alberto Contador,ES,24,GC
2008,Carlos Sastre,ES,33,GC
2009,Alberto Contador,ES,26,GC
2010,Alberto Contador,ES,27,GC
2011,Cadel Evans,AU,34,GC
2012,Bradley Wiggins,GB,32,TT
2013,Chris Froome,GB,28,GC
2014,Vincenzo Nibali,IT,29,GC
2015,Chris Froome,GB,30,GC
2016,Chris Froome,GB,31,GC
2017,Chris Froome,GB,32,GC
2018,Geraint Thomas,GB,32,GC
2019,Egan Bernal,CO,22,GC
2020,Tadej Pogačar,SI,21,Climber
2021,Tadej Pogačar,SI,22,Climber
2022,Jonas Vingegaard,DK,25,GC
2023,Jonas Vingegaard,DK,26,GC
2024,Tadej Pogačar,SI,25,Climber
2025,Tadej Pogačar,SI,26,Climber
